中国银行交易流水明细单
记账日期,记账时间,币别,金额,余额,交易名称,渠道,网点名称,附言,对方账户名,对方卡号/账号,对方开户行,借记卡号
2025-08-22,17:57:17,人民币,-71.89,"3,240.28",无卡支付,卡组织线上/无卡交易,-------------------,----------,张三,6226******5669,-------------------,3167
2025-08-22,12:24:20,人民币,-326.00,"3,312.17",网上快捷支付,银企对接,-------------------,支付宝-李四,支付宝-李四,Z200******010N,-------------------,3167
2025-08-22,12:23:04,人民币,50.00,"3,638.17",网上快捷退款,银企对接,-------------------,支付宝-李四,支付宝-李四,8000******1303,-------------------,3167
2025-08-22,12:22:50,人民币,-50.00,"3,588.17",网上快捷支付,银企对接,-------------------,支付宝-李四,支付宝-李四,Z200******010N,-------------------,3167
2025-08-19,10:52:29,人民币,-60.00,"3,638.17",网上快捷支付,银企对接,-------------------,支付宝-郑六,支付宝-郑六,Z200******010N,-------------------,3167
2025-08-14,13:43:29,人民币,-206.80,"3,698.17",无卡支付,卡组织线上/无卡交易,-------------------,----------,张三,6222******4664,-------------------,3167
2025-08-14,13:43:07,人民币,-68.14,"3,904.97",无卡支付,卡组织线上/无卡交易,-------------------,----------,张三,6225******4294,-------------------,3167
2025-08-12,16:49:29,人民币,"-2,600.00","3,973.11",跨行转账,手机银行,------------------- 张三17670961139美金,数据有限公司,上海十企业管理顾问有限公司,3101******6787,浙江泰隆商业银行,3167
2025-08-09,18:35:45,人民币,-13.50,"6,573.11",网上快捷支付,银企对接,-------------------,支付宝,支付宝,Z200******010N,-------------------,3167
2025-08-07,08:07:59,人民币,-15.48,"6,586.61",网上快捷支付,银企对接,-------------------,支付宝-李一,支付宝-李一,4888******N,-------------------,3167
2025-08-06,19:06:14,人民币,-16.00,"6,602.09",网上快捷支付,银企对接,-------------------,支付宝-朱二慈,支付宝-朱二慈,4888******N,-------------------,3167
2025-08-05,16:00:44,人民币,"5,771.00","6,618.09",工资,柜台,中国银行上海市十厦支行,----------,美金数据有限公司,4520******1924,中国银行上海市十厦支行,3167
2025-08-04,16:11:00,人民币,"-2,769.59",847.09,无卡支付,卡组织线上/无卡交易,-------------------,----------,张三,6226******5669,-------------------,3167
2025-08-04,16:10:21,人民币,"3,000.00","3,616.68",网上快捷提现,银企对接,-------------------,支付宝-张三-张三支付宝余额提现-张三,支付宝-张三,2088******0156,支付宝,3167
2025-08-03,16:46:40,人民币,-196.90,616.68,网上快捷支付,银企对接,-------------------,支付宝-朱十琦,支付宝-朱十琦,Z200******010N,-------------------,3167
2025-08-01,08:57:22,人民币,"-3,000.00",813.58,无卡支付,卡组织线上/无卡交易,-------------------,----------,张林,6205******2260,-------------------,3167
2025-08-01,08:57:00,人民币,"1,000.00","3,813.58",银联入账,卡组织线上/无卡交易,-------------------,转账,张三,6222******0258,-------------------,3167
