明细查询文件下载

卡号: 1234****5678,"卡别名: "

子账户类别:

交易日期,记账日期,摘要,交易场所,交易国家或地区简称,交易金额(收入),交易金额(支出),交易币种,记账金额(收入),记账金额(支出),记账币种,余额,对方户名
2023-04-22     	,2023-04-22     	,"银联在线支付                  	",XX旗舰店            	,"CHN                 	","                    	","0.01                	",人民币              	,"                    	","0.01                	",人民币              	,"-6,086.11           	","                    	",
2023-05-05     	,2023-05-05     	,"消费                          	","财付通-拼多多平台商户                   	","CHN                 	","                    	","18.00               	",人民币              	,"                    	","18.00               	",人民币              	,"-3,728.62           	","                    	",
2023-05-05     	,2023-05-05     	,"消费                          	","支付宝-金拱门(中国)有限公司             	","CHN                 	","                    	","26.00               	",人民币              	,"                    	","26.00               	",人民币              	,"-3,710.62           	","                    	",
2023-05-04     	,2023-05-04     	,"ETC                           	","广东联合电子收费股份                    	","CHN                 	","                    	","12.35               	",人民币              	,"                    	","12.35               	",人民币              	,"-3,684.62           	","                    	",
2023-05-02     	,2023-05-02     	,"消费                          	","支付宝-北京百度网讯科技有限公司         	","CHN                 	","                    	","17.32               	",人民币              	,"                    	","17.32               	",人民币              	,"-3,648.27           	","                    	",
2023-04-25     	,2023-04-25     	,"人民币自动转帐还款            	",XX分行银行卡中心                  	,"CHN                 	","4,621.01            	","                    	",人民币              	,"4,621.01            	","                    	",人民币              	,"-1,971.63           	","                    	",
2023-04-22     	,2023-04-22     	,"消费                          	","财付通-美团平台商户                     	","CHN                 	","                    	","238.00              	",人民币              	,"                    	","238.00              	",人民币              	,"-6,324.11           	","                    	",
2023-03-20     	,2023-03-20     	,"消费                          	",财付通-餐馆                           	,"CHN                 	","                    	","22.00               	",人民币              	,"                    	","22.00               	",人民币              	,"-16,064.73          	","                    	",
2023-03-20     	,2023-03-20     	,"********************          	","广东联合电子收费股份                    	","CHN                 	","                    	","29.45               	",人民币              	,"                    	","29.45               	",人民币              	,"-16,042.73          	","                    	",
 
合计金额,,,,,"1234.56           	","6543.21           	",	,"1234.56           	","6543.21           	",
