明细查询文件下载

卡号: 1234****9876,"卡别名: 这是卡别名"

子账户序号: 00000,子账户类别: 活期,"子账户别名: "

交易日期,摘要,交易详情,交易场所,交易国家或地区简称,钞/汇,交易金额(收入),交易金额(支出),交易币种,记账金额(收入),记账金额(支出),记账币种,余额,对方户名,对方账户
2023-05-02     	,"消费                	","                              	","广东三元麦当劳食品有                                 	","CHN                 	",钞        	,"-                   	","-                   	",-              	,"                    	","13.40               	",人民币         	,"xx,yyyy.zz          	","深圳市财付通支付科技有限公司                                                                                                                              	","1234****9876       	",
2023-04-25     	,"自动还款            	","                              	","广东XX分行银行卡中心                                      	","CHN                 	",钞        	,"-                   	","-                   	",-              	,"                    	","1,234.56            	",人民币         	,"xx,yyyy.zz          	","张三                                                                                                                                         	","1234****9876       	",
2023-04-22     	,"他行汇入            	","                              	","                                                            	","CHN                 	",钞        	,"-                   	","-                   	",-              	,"1,234.56           	","                    	",人民币         	,"xx,yyyy.zz          	","李四                                                                                                                                         	","1234****9876       	",
2023-04-20     	,"银联消费            	","                              	","                                                            	","CHN                 	",钞        	,"-                   	","-                   	",-              	,"                    	","1,234.56            	",人民币         	,"xx,yyyy.zz          	","银联无卡支付业务((特约)掌上生活还款)                                                                                                                        	","1234****9876       	",
2023-04-14     	,"工资                	","                              	","                                                            	","CHN                 	",钞        	,"-                   	","-                   	",-              	,"1,234.56           	","                    	",人民币         	,"xx,yyyy.zz          	","ABC公司                                                                                                                                 	","1234****9876       	",
2023-04-14     	,"网转                	","                              	","手机银行                                                    	","CHN                 	",钞        	,"-                   	","-                   	",-              	,"                    	","500.00              	",人民币         	,"xx,yyyy.zz          	","王五                                                                                                                                         	","1234****9876       	",
2023-02-28     	,"蚂蚁基金赎回到银行	","                              	","支付宝                                                      	","CHN                 	",钞        	,"-                   	","-                   	",-              	,"341.58              	","                    	",人民币         	,"xx,yyyy.zz          	","支付宝（中国）网络技术有限公司                                                                                                                             	","1234****9876       	",
2023-02-20     	,"跨行汇款            	","                              	","手机银行                                                    	","CHN                 	",钞        	,"-                   	","-                   	",-              	,"                    	","1,234.56          	",人民币         	,"xx,yyyy.zz          	","张三                                                                                                                                         	","1234****9876       	",
2023-02-10     	,"合伙人返现          	","                              	","                                                            	","CHN                 	",钞        	,"-                   	","-                   	",-              	,"30.00               	","                    	",人民币         	,"xx,yyyy.zz          	","总行信用卡合伙人                                                                                                                                    	","1234****9876       	",
2023-02-09     	,"消费                	","                              	","财付通-群收款                                               	","CHN                 	",钞        	,"-                   	","-                   	",-              	,"                    	","24.00               	",人民币         	,"xx,yyyy.zz          	","深圳市财付通支付科技有限公司                                                                                                                              	","1234****9876       	",
2023-02-08     	,"退款                	","                              	","财付通-微信红包                                             	","CHN                 	",钞        	,"-                   	","-                   	",-              	,"1.04                	","                    	",人民币         	,"xx,yyyy.zz          	","深圳市财付通支付科技有限公司                                                                                                                              	","1234****9876       	",
 
人民币合计,,,,,,,,,"1,234.56          	","9,876.54          	",
